odg,bully,bullied,age,tatot,dens,recip,grade,male,s_att,skip
7,1.999143585519327,3.03,15,7,0.937399621308689,1,11,0,0,0
0,2.003980924632118,2.3,15,0,0.8330743011506843,0.14032300340380938,10,0,0,0
0,1.501278043486292,1.53,16,2,0.3753220257446611,0.33035548213354826,11,0,0,1
7,1.5023242924828721,1.22,16,4,0.040749755809992017,0.12754496393749704,11,1,0,0
7,2.001045754390523,3.62,14,3,0.16732530607853416,0.4233133525798791,9,1,0,1
7,2.0012006001387204,3.03,16,3,0.027756296038715527,0.4410343821397939,11,1,0,1
7,2.9994223732650864,4.96,15,4,0,0.288424803664577,11,0,0,1
0,2.003705237593561,2.43,14,0,0.31073931681546113,0,9,0,0,0
4,1.5021740346750039,0.56,14,2,0.5826391441221382,0.5954087948540038,9,0,0,0
6,2.4973735432933317,3.35,14,2,0.020564786985095784,0.21195338976354677,9,1,0,1
7,2.0008256833800964,2.45,15,7,0.029404219229873654,0.6245470272800967,10,1,0,1
0,1.5056489219297964,2.12,15,3,0,0.3870091929123254,10,1,0,0
5,0.9991637433369953,-0.52,14,2,1,0.3659291768880277,10,1,0,0
3,0.9999956989041218,0.02,16,7,0.6737878185503411,0.47493678260144057,11,1,0,1
7,1.5014953553596595,-1,16,7,0.2217913269988802,0,10,0,0,1
3,2.5045843833352883,2.37,17,2,0.30945406715007034,0,11,1,0,1
7,1.501627814784567,0.52,17,7,0.5503874013864863,0.6954607569436005,12,1,0,1
0,1.507994202606271,1.66,13,2,0.42496010165382575,0.49242734319149983,9,1,0,0
0,1.5057653653392533,0.82,14,0,0.7639793042114146,0,9,0,1,0
4,2.0025890669577833,3.02,14,5,0.9664813518748275,0.9813780899478786,10,0,0,0
0,0.9998343382675554,-0.75,16,5,0.4459788561984728,0.1075325443274948,11,1,0,1
1,2.002510670100597,4.55,13,5,0.5873113689657522,0.25834991165801674,9,0,0,1
5,1.5015353822387318,1.51,18,2,0.07998096342997671,0,12,0,0,1
4,1.5060720326147905,1.61,14,7,0,0,9,0,0,1
6,1.5037945889240394,0.93,16,7,0.47311865924071084,0.914342668607865,11,1,0,0
0,1.0001646321957787,0.97,15,4,0.5477675402920499,0.2904249887844163,10,0,0,0
0,1.0055462838354592,0.99,16,6,0.32171751300819845,0.5593516351258737,11,0,1,1
0,1.0054418117917188,-1.37,17,0,0.15729625484641852,0,11,1,0,1
6,1.5021862521843032,1.19,14,2,0.21433108447825394,0.09824321091788553,9,0,1,1
0,2.503726184470712,3.26,15,0,0,0.05473878764988223,10,0,0,0
7,0.997121547303718,-1.15,14,7,0.10085326333258013,0.10678160393115352,10,1,0,1
0,2.000356363016376,3.58,15,0,0.5829814994004514,0.2790504124845506,10,0,0,1
7,1.5044999175235758,0.73,17,3,0.3036265979873375,0.9230275305985404,12,1,0,0
5,2.495400944253837,4.5,16,3,0.03872473394281699,0.6380747179934406,11,0,0,1
3,0.9996267662500754,-0.95,15,7,0.14699348500018747,0,10,1,0,1
5,2.5041741099782717,4.2,14,2,0,0.3616452189227017,9,0,0,0
0,1.0013819834226858,-0.09,14,2,0.42954621721126557,0,9,1,0,1
0,2.0009078415785275,1.28,13,0,0.1816725160770265,0,9,0,0,1
7,0.9989958399662807,0.84,14,3,0.016823843820442684,0,9,0,0,1
7,2.502278942284452,4.81,14,3,0.08381515536315495,0.3186164994835512,9,1,0,1
3,1.501607154741059,0.13,18,5,0.17210094792006805,0.15374495585591164,12,1,0,1
7,1.5025044393531972,0.42,15,7,0.1724471141823086,0,11,0,0,1
7,2.498770431036098,2.93,14,7,1,0.8976853312957219,10,0,0,0
0,2.0040278708585175,3.5,15,7,0.12190810040955292,0,10,0,0,1
0,1.505258408182379,1.34,17,3,0.5440721649653897,0,12,0,0,1
0,2.0031564932335715,2.62,13,5,0.038047430061234545,0,9,1,0,1
4,1.0026647235529476,-1.25,16,7,0.5255975506077891,0.3832270940768157,11,0,0,1
7,1.4986784359720209,0.56,14,3,0.4148894409360111,0.03019696109873326,9,0,0,1
7,1.0007722631577545,-1.07,15,3,0.495311347298393,0.08566808452954287,10,0,0,0
7,1.498902549698009,0.43,16,3,0.11947552574713528,0.06951864416783061,11,0,0,1
6,1.0006352260133329,-0.86,14,5,0.5813807788306374,0.4580410208326967,10,0,0,1
6,1.497886552580133,-0.92,15,3,0.650962560543839,0.5911143115432194,10,0,0,0
0,2.5028585527609497,3.76,14,5,0.4308625656437736,0.2505291430403503,9,0,0,0
7,1.003128107688974,0.88,13,6,0.08211215349883588,0.3783199309239531,9,0,0,1
2,1.002301005247213,0,15,7,0.2213202586743552,0.2860852872109843,10,1,0,1
7,3.0005914149547848,3.24,13,7,0.16513418094744017,0.568458991091368,9,0,0,0
7,1.5010138450642754,-0.15,13,5,0.5559945283910357,0.5201233119407475,9,1,0,0
3,1.0010802963841219,0.51,17,1,0.001257035891519838,0,11,1,0,1
0,1.0039540535428007,-1.74,17,4,0.542867820433193,0,12,0,1,0
0,2.0021130715111797,1.22,15,0,0.14805885667618818,0.25931211956377276,10,0,1,1
1,1.004946527535683,-0.6,17,7,0.5535397578641064,0.30573946885067277,11,0,0,1
0,1.501958962605852,1.51,16,0,0.1771990746208215,0,11,0,0,0
7,1.5010554400759502,0.79,14,7,0.1419923170281143,0.2880355089567336,9,1,0,0
2,1.0068578563430857,-1.1,17,7,0,0,12,0,1,1
6,1.500964845284701,0.46,14,7,0.4729561517466879,0.5049421740211508,10,0,0,1
0,1.0020361900378383,-1.47,15,0,0.442796378415378,0,10,0,0,0
0,3.5023652109327004,7.18,16,7,0,0,11,0,1,1
6,1.4994103106258416,2.2,15,3,0.4595976397521119,0.1779272508062307,10,1,0,0
5,1.0007605707561442,-0.64,15,7,0.5403642377144499,0,10,1,0,1
